term_raw,universal_title,title_code,definition_verbatim,explanation,definition_basis,definition_basis_code,author,profession,discipline,country,year,source_MLA,page,sub_source,provenance
Special Operations Forces (Approach 1 of 2; Leslau),Special Operations Forces,4,"Approach 1 (of 2) - focuses on organization, equipment, selection and training to distinguish SOF from regular forces; SOF's main role is to complement general military effort in different sorts of operations; views role of SOF as limited military operations of a unique nature - a figurative sharpshooter carrying out narrowly focused precision military operations

Elite units that can carry out missions which either cannot be performed by regular units at all, or cannot be performed by them at an acceptable cost",Approach 1 - SOF can 'exceed the routine capabilities of conventional military forces'; SOF 'are personnel who receice specialized training to execute tasks behind enemy lines in support of conventional military operations or counterinsurgency campaign' (Terry White); SOF are 'most capable troops sent to take care of the most difficult missions' (James Dunnigan),Organization*Operators,8,,1,Political Science,Israel,2010,"Leslau, Ohad. ""Worth the Bother? Israeli Experience and the Utility of Special Operations Forces."" Contemporary Security Policy 31.3 (2010): 509-30. Print.",511,"Maurice Tugwell and David Charters, ‘Special Operations and the Threats to United States Interests in
the 1980s’, in Frank R. Barnett, B. Hugh Tovar, and Richard H. Shultz (eds), Special Operations in US
Strategy (Washington DC: National Defense University Press, 1984), p. 34.",original
Special Operations Forces (Approach 2 of 2; Leslau),Special Operations Forces,4,"Approach 2 (of 2) - emphasizes uniqueness of SOF's operations and objectives; sees role of SOF as more expansive, a force that can be used to win the hearts and minds of the local population - a social worker role in addition to military support

Unmatched capabilities and ability to undertake missions that do not fall within conventional military tasks -- humanitarian assistance, insurgency, counterinsurgency missions, etc.","Approach 2 - SOF 'are not just ordinary military operations writ small; they are qualitatively different from those of most regular units' (Edward Luttwak et al); SOF 'conduct operations that are outside the realm and tactics of the conventional battlefield' (Susan Marquis); SOF operations are 'unexpected strokes of violence, usually mounted and executed outside the military establishment of the day, which exercise a startling effect on the enemy; preferably, at the highest level' (M.R.D. Foot)",Operators,3,,1,Political Science,Israel,2010,"Leslau, Ohad. ""Worth the Bother? Israeli Experience and the Utility of Special Operations Forces."" Contemporary Security Policy 31.3 (2010): 509-30. Print.",512,"Maurice Tugwell and David Charters, ‘Special Operations and the Threats to United States Interests in
the 1980s’, in Frank R. Barnett, B. Hugh Tovar, and Richard H. Shultz (eds), Special Operations in US
Strategy (Washington DC: National Defense University Press, 1984), p. 34.",original
Special Operations Forces,Special Operations Forces,4,"Units that specialize in performing small scale, clandestine, covert or overt operations of an unorthodox and frequently high-risk nature, undertaken to achieve significant political or military objectives in support of foreign policy

The two approaches do not conflict, but rather complement one another, and Special Operations Forces could and should - under the right circumstances - fulfill both functions",,Role and Function,4,,1,Political Science,Israel,2010,"Leslau, Ohad. ""Worth the Bother? Israeli Experience and the Utility of Special Operations Forces."" Contemporary Security Policy 31.3 (2010): 509-30. Print.",512,,original
Special Operations Forces (as defined by others),Special Operations Forces,4,"Generally composed of unique forces specific to particular country requirements, therefore they exhibit few commonalities internationally other than a shared 'elite' status; tend to be the part of any defence force often glorified by the media and the entertainment industry, but that remain shielded behind the closed doors of government security policy and (more often) self-imposed secrecy",,Organization,2,,3,"International Relations, Defence Studies",Australia,2004,"Brailey, Malcolm. ""Not Many Jobs Take a Whole Army: Special Operations Forces and the Revolution in Military Affairs."" Thesis. Institute of Defence and Strategic Studies Singapore, 2004. Print.",3,,original
Special Operations Forces,Special Operations Forces,4,"Those elements of legitimate state-based military forces that are specifically selected, trained and organised to carry out 'special operations' and which provide those same states with a unique capability of high strategic utility",,Operators,3,,3,"International Relations, Defence Studies",Australia,2004,"Brailey, Malcolm. ""Not Many Jobs Take a Whole Army: Special Operations Forces and the Revolution in Military Affairs."" Thesis. Institute of Defence and Strategic Studies Singapore, 2004. Print.",4,,original
Special Operations Forces,Special Operations Forces,4,"An inherently agile instrument ideally suited to the ambiguous and dynamic irregular environment while allowing national and collective defence establishments to retain freedom of action through employing economy of force. They operate outside the realm of conventional operations or beyond the standard capabilities of conventional forces, thus providing a solution to extraordinary circumstances of political interest when no other option is available

Years of training, education, and experience acquired through an investment in time and resources are necessary to prepare SOF units to successfully perform special operations","SOF are characterized as strategic assets because of their ability to achieve political, military, psychological, and informational objectives that represent the foundational instruments of national power",Role and Function*Operators,10,,2 (Official NATO definition),,United States,2008,"United States of America. National Security Agency. North Atlantic Treaty Organization. Special Operations Forces Study. By NATO Special Operations Coordination Centre. N.p.: n.p., 2008. Print.",ii,,original
Special Operations Forces,Special Operations Forces,4,"Military activities conducted by specially designated, organized, trained and equipped forces using operational techniques and modes of employment not standard to conventional forces. These activities are conducted across the full range of military operations independently or in coordination with operations of conventional forces to achieve political, military, psychological and economic objectives. Politico-military considerations may require clandestine, covert or discreet techniques and the acceptance of a degree of physical and political risk not associated with conventional operations.",,?,?,,2 (Official NATO definition),,United States,2008,"United States of America. National Security Agency. North Atlantic Treaty Organization. Special Operations Forces Study. By NATO Special Operations Coordination Centre. N.p.: n.p., 2008. Print.",5,NATO Glossary of Terms and Definitions,original
Special Operations Forces,Special Operations Forces,4,"Specific units with a range of different, but sometimes overlapping, capabilities. Fall under the purview of the US Specal Operations Command (USSOCOM). 

(Include US Army Special Forces units (Green Berets), US Army Rangers, special mission units, the 160th Special Operations Aviation Regiment, Civil Affairs (CA) and Psychological Operations forces (PSYOP), US Navy SEALs, US Air Force Special Tactics teams, and fixed wing and rotary wing air assets)",,Designation,1,,"Simons: 1

Tucker: 1","Simons: Anthropology, Defense Studies

Tucker: History, Defense Studies","Simons: United States

Tucker: United States",2003,"Simons, Anna, and David Tucker. ""United States Special Operations Forces and the War on Terrorism."" Small Wars & Insurgencies 14.1 (2003): 77-91. Print.",80,,original
Special Operations Forces,Special Operations Forces,4,"""Small-scale, clandestine, covert or overt operations of an unorthodox and frequently high-risk nature, undertaken to achieve political or military objectives in support of foreign policy. Special Operations are characterized by either simplicity or complexity, by subtlety and imagination, by the discriminate use of violence, and by oversight at the highest levels. Military and nonmilitary resources, including intelligence assets, may be used in concert.""",,Designation,1,,2,,United States,1989,"Byars, William R. Combined Control of Special Operations Forces in the Central Region of Allied Command Europe. Rep. Alabama: Air War College Air University, 1989. Print.",4,"Barnett, Frank R., Tovar, B. Hugh, & Schultz, Richard H., Special Operations in US Strategy, National Defense University Press, 1984, p. 9.",original
Special Operations Forces,Special Operations Forces,4,"""No mission was too difficult or dangerous when our country was called.""

""No group of aviators has come close to matching the Special Operators' skills and versatility.""

""These operations had an immense real and psychological impact on our adversaries; vastly exceeding the nominal investment on our part.""",,Role and Function,4,,?,?,?,1994,"Chinnery, Philip D. Any Time, Any Place: Fifty Years of the USAF Air Commando and Special Operations Forces, 1944-1994. Annapolis, MD: Naval Institute, 1994. Print.",Foreword,,original
