term_raw,universal_title,title_code,definition_verbatim,explanation,definition_basis,definition_basis_code,author,profession,discipline,country,year,source_MLA,page,sub_source,provenance
SOF [Gray],Special Operations Forces,4,"(With respect to terminology, SOF are regular troops trained to fight irregularly.)",,Operators*Role and Function,,"Gray, Colin S.",1,Political Science / Strategy,United Kingdom,1999,"Gray, Colin S. ""Handfuls of Heroes on Desperate Ventures: When Do Special Operations Succeed?"" Parameters 29.1 (1999): 2-24.",4,,candidate-2026-06-06;source:SOF Articles (Zotero)
SOF [Gray],Special Operations Forces,4,special operations forces offer the prospect of a favorably disproportionate return on military investment... SOF provide the possibility of a range of precisely conducted military activities more extensive than that reliably feasible for regular warriors conducting regular operations.,,Role and Function,4,"Gray, Colin S.",1,Political Science / Strategy,United Kingdom,1999,"Gray, Colin S. ""Handfuls of Heroes on Desperate Ventures."" Parameters 29.1 (1999): 2-24.",2,,candidate-2026-06-06;source:SOF Articles (Zotero)
Special operations [Gray q. Arquilla],Special Operations Forces,4,that class of military (or paramilitary) actions that fall outside the realm of conventional warfare during their respective time periods.,,Role and Function,4,"Arquilla, John (q. in Gray)",1,Strategy,United States,1999,"Quoted in Gray 1999 from John Arquilla, From Troy to Entebbe (1996), pp. xv-xvi.",note 3,,candidate-2026-06-06;source:SOF Articles (Zotero)
SOF as elite [Gray],Elite Forces,2,"they are elite warriors, after all--the trouble is that they are few in number",,Operators,3,"Gray, Colin S.",1,Strategy,United Kingdom,1999,"Gray, Colin S. ""Handfuls of Heroes."" Parameters 29.1 (1999).",8,,candidate-2026-06-06;source:SOF Articles (Zotero)
"SOF [Canadian doctrine, q. Horn]",Special Operations Forces,4,"Special Operation Forces are organizations containing specially selected personnel that are organized, equipped and trained to conduct high-risk, high value special operations to achieve military, political, economic or informational objectives by using special and unique operational methodologies in hostile, denied or politically sensitive areas to achieve desired tactical, operational and/or strategic effects in times of peace, conflict or war.",,Organization*Operators*Role and Function,,CANSOFCOM (q. in Horn),3,Doctrine,Canada,2014,"Quoted in Bernd Horn, ""The Strategic Utility of SOF,"" Canadian Military Journal 14.4 (2014): 66-70; from CANSOFCOM, An Overview (DND, 2008), p.7.",67,,candidate-2026-06-06;source:SOF Articles (Zotero)
"SOF [WWII triad, Horn]",Special Operations Forces,4,"special men, special training and special missions",,Operators*Organization*Role and Function,,"Horn, Bernd",3,Military History,Canada,2014,"Bernd Horn, ""The Strategic Utility of SOF,"" Canadian Military Journal 14.4 (2014): 66-70.",66,,candidate-2026-06-06;source:SOF Articles (Zotero)
"Commando [Boer/original, Dobbie]",Other Units,5,"the word commando meant a body of burghers called out for military service, usually on a more or less temporary basis... It corresponded most closely, therefore, to the English term militia. The commando was not the individual burgher, but the military unit of which he was a member.",,Organization*Operators,8,"Dobbie, Elliott V. K.",1,Philology / Linguistics,United States,1944,"Dobbie, Elliott V. K. ""The Word 'Commando'."" American Speech 19.2 (1944): 81-90.",81,,candidate-2026-06-06;source:SOF Articles (Zotero)
"Commando [WWII official, Dobbie]",Special Forces,1,"In World War II, a Commando is a unit of Special Service troops, roughly corresponding in size to a battalion, trained for combined operations.",,Designation*Organization*Role and Function,,"Dobbie, Elliott V. K.",1,Philology / Linguistics,United States,1944,"Dobbie, Elliott V. K. ""The Word 'Commando'."" American Speech 19.2 (1944): 81-90.",85,,candidate-2026-06-06;source:SOF Articles (Zotero)
SOF cross-national title equivalence [Sliusarenko],Special Operations Forces,4,"despite the fact that special operations forces in NATO countries have different titles (""Special Operations Forces"" /the USA, Great Britain, France/, ""Special Forces"" /FRG/, ""Special Designation Forces"" /Turkey/), they carry out specific functional tasks which are described below.",,Designation*Role and Function,7,"Sliusarenko, Andrii",3,Military History,Ukraine,2018,"Sliusarenko, Andrii. ""Conceptual Organizational and Functional Models of the Army SOF in the Leading NATO Countries."" UR Journal of Humanities and Social Sciences 1(6) (2018): 75-86.",84,,candidate-2026-06-06;source:SOF Articles (Zotero)
SOF as 'third force' [Sliusarenko q. Safonov],Special Operations Forces,4,"foreign analysts consider Special Operations Forces as a ""third force"" along with nuclear weapons and conventional forces.",,Role and Function,4,Safonov (q. in Sliusarenko),2,Military,Ukraine,2018,"Quoted in Sliusarenko 2018 from Safonov 2000, p.7.",76,,candidate-2026-06-06;source:SOF Articles (Zotero)
